Codes,Names,theft_year_minus_3,theft_year_minus_2,theft_year_minus_1,theft_now,theft_2012
E01001824,Hackney 004D,23,29,33,42,46
E01001825,Hackney 001E,27,35,29,13,22
E01001826,Hackney 004E,35,33,35,32,26
E01001827,Hackney 005F,29,19,46,34,29
E01001828,Hackney 005G,36,30,47,50,37
E01001829,Hackney 009C,65,70,73,81,80
E01001830,Hackney 014C,108,93,101,88,120
E01001831,Hackney 009D,130,141,157,169,198
E01001832,Hackney 009E,63,52,57,64,66
E01001833,Hackney 014D,64,37,51,52,44
E01001834,Hackney 014E,41,46,38,62,66
E01001835,Hackney 014F,32,28,29,35,36
E01001836,Hackney 022A,96,134,154,120,125
E01001837,Hackney 023B,84,114,117,112,94
E01001838,Hackney 019E,41,32,45,42,35
E01001839,Hackney 023C,155,133,178,165,141
E01001840,Hackney 022B,55,51,53,48,57
E01001841,Hackney 022C,36,49,47,50,55
E01001842,Hackney 023D,26,42,37,30,33
E01001843,Hackney 023E,38,43,45,31,32
E01001844,Hackney 022D,117,106,111,102,90
E01001845,Hackney 022E,27,34,43,43,67
E01001846,Hackney 018A,48,42,67,67,48
E01001847,Hackney 018B,38,33,38,44,45
E01001848,Hackney 018C,51,49,63,60,73
E01001849,Hackney 018D,87,88,122,99,154
E01001850,Hackney 019F,31,32,22,46,52
E01001851,Hammersmith and Fulham 010A,46,55,78,62,55
E01001852,Hammersmith and Fulham 007A,78,78,61,71,55
E01001853,Hammersmith and Fulham 007B,45,60,56,42,38
E01001854,Hammersmith and Fulham 007C,49,56,50,68,36
E01001855,Hammersmith and Fulham 010B,67,65,45,64,57
E01001856,Hammersmith and Fulham 010C,88,81,85,97,65
E01001857,Hammersmith and Fulham 007D,376,255,261,281,261
E01001858,Hammersmith and Fulham 006A,82,55,75,57,85
E01001859,Hammersmith and Fulham 008A,31,30,24,39,37
E01001860,Hammersmith and Fulham 006B,69,69,64,63,96
E01001861,Hammersmith and Fulham 006C,41,40,70,53,48
E01001862,Hammersmith and Fulham 005A,48,39,43,44,53
E01001863,Hammersmith and Fulham 006D,42,56,46,51,45
E01001864,Hammersmith and Fulham 006E,23,33,47,42,59
E01001865,Hammersmith and Fulham 008B,50,44,45,44,67
